img, version, proc, rep, iter, time
1, 1, 2, 0, 800,  0.076237
1, 1, 2, 1, 800,  0.095323
1, 1, 2, 2, 800,  0.091580
1, 1, 2, 3, 800,  0.063049
1, 1, 2, 4, 800,  0.062867
1, 1, 2, 5, 800,  0.062728
1, 1, 4, 0, 800,  0.061521
1, 1, 4, 1, 800,  0.061775
1, 1, 4, 2, 800,  0.061708
1, 1, 4, 3, 800,  0.054433
1, 1, 4, 4, 800,  0.062072
1, 1, 4, 5, 800,  0.065606
1, 1, 8, 0, 800,  0.038911
1, 1, 8, 1, 800,  0.038460
1, 1, 8, 2, 800,  0.040250
1, 1, 8, 3, 800,  0.039217
1, 1, 8, 4, 800,  0.038139
1, 1, 8, 5, 800,  0.038926
1, 1, 12, 0, 800,  0.032599
1, 1, 12, 1, 800,  0.031748
1, 1, 12, 2, 800,  0.032394
1, 1, 12, 3, 800,  0.032548
1, 1, 12, 4, 800,  0.031720
1, 1, 12, 5, 800,  0.032657
1, 1, 19, 0, 800,  0.028886
1, 1, 19, 1, 800,  0.027732
1, 1, 19, 2, 800,  0.030613
1, 1, 19, 3, 800,  0.029058
1, 1, 19, 4, 800,  0.027636
1, 1, 19, 5, 800,  0.029826
2, 0, 2, 0, 800,  0.151246
2, 0, 2, 1, 800,  0.146818
2, 0, 2, 2, 800,  0.126829
2, 0, 2, 3, 800,  0.140256
2, 0, 2, 4, 800,  0.126682
2, 0, 2, 5, 800,  0.144928
2, 0, 4, 0, 800,  0.091740
2, 0, 4, 1, 800,  0.095356
2, 0, 4, 2, 800,  0.097436
2, 0, 4, 3, 800,  0.092451
2, 0, 4, 4, 800,  0.094561
2, 0, 4, 5, 800,  0.099068
2, 0, 8, 0, 800,  0.057299
2, 0, 8, 1, 800,  0.060711
2, 0, 8, 2, 800,  0.056998
2, 0, 8, 3, 800,  0.060789
2, 0, 8, 4, 800,  0.060167
2, 0, 8, 5, 800,  0.060006
2, 0, 12, 0, 800,  0.047554
2, 0, 12, 1, 800,  0.048365
2, 0, 12, 2, 800,  0.047422
2, 0, 12, 3, 800,  0.050751
2, 0, 12, 4, 800,  0.050560
2, 0, 12, 5, 800,  0.050177
2, 0, 19, 0, 800,  0.040738
2, 0, 19, 1, 800,  0.040990
2, 0, 19, 2, 800,  0.038817
2, 0, 19, 3, 800,  0.040929
2, 0, 19, 4, 800,  0.040794
2, 0, 19, 5, 800,  0.039168
2, 1, 2, 0, 800,  0.221001
2, 1, 2, 1, 800,  0.232541
2, 1, 2, 2, 800,  0.240716
2, 1, 2, 3, 800,  0.230541
2, 1, 2, 4, 800,  0.238862
2, 1, 2, 5, 800,  0.233392
2, 1, 4, 0, 800,  0.146018
2, 1, 4, 1, 800,  0.141813
2, 1, 4, 2, 800,  0.144535
2, 1, 4, 3, 800,  0.142910
2, 1, 4, 4, 800,  0.143264
2, 1, 4, 5, 800,  0.143670
2, 1, 8, 0, 800,  0.092380
2, 1, 8, 1, 800,  0.090200
2, 1, 8, 2, 800,  0.090895
2, 1, 8, 3, 800,  0.090929
2, 1, 8, 4, 800,  0.090269
2, 1, 8, 5, 800,  0.090698
2, 1, 12, 0, 800,  0.067434
2, 1, 12, 1, 800,  0.073104
2, 1, 12, 2, 800,  0.073133
2, 1, 12, 3, 800,  0.072284
2, 1, 12, 4, 800,  0.069591
2, 1, 12, 5, 800,  0.070705
2, 1, 19, 0, 800,  0.065054
2, 1, 19, 1, 800,  0.062820
2, 1, 19, 2, 800,  0.062898
2, 1, 19, 3, 800,  0.066291
2, 1, 19, 4, 800,  0.063513
2, 1, 19, 5, 800,  0.063989
3, 0, 2, 0, 800,  0.320384
3, 0, 2, 1, 800,  0.319811
3, 0, 2, 2, 800,  0.322501
3, 0, 2, 3, 800,  0.320416
3, 0, 2, 4, 800,  0.323757
3, 0, 2, 5, 800,  0.326067
3, 0, 4, 0, 800,  0.195558
3, 0, 4, 1, 800,  0.197317
3, 0, 4, 2, 800,  0.193992
3, 0, 4, 3, 800,  0.193285
3, 0, 4, 4, 800,  0.192247
3, 0, 4, 5, 800,  0.197780
3, 0, 8, 0, 800,  0.092692
3, 0, 8, 1, 800,  0.105699
3, 0, 8, 2, 800,  0.095018
3, 0, 8, 3, 800,  0.100710
3, 0, 8, 4, 800,  0.099440
3, 0, 8, 5, 800,  0.104407
3, 0, 12, 0, 800,  0.072410
3, 0, 12, 1, 800,  0.074393
3, 0, 12, 2, 800,  0.072520
3, 0, 12, 3, 800,  0.074113
3, 0, 12, 4, 800,  0.100773
3, 0, 12, 5, 800,  0.079019
3, 0, 19, 0, 800,  0.053504
3, 0, 19, 1, 800,  0.051950
3, 0, 19, 2, 800,  0.050083
3, 0, 19, 3, 800,  0.052329
3, 0, 19, 4, 800,  0.049848
3, 0, 19, 5, 800,  0.053401
3, 1, 2, 0, 800,  0.596223
3, 1, 2, 1, 800,  0.596110
3, 1, 2, 2, 800,  0.595871
3, 1, 2, 3, 800,  0.596001
3, 1, 2, 4, 800,  0.596810
3, 1, 2, 5, 800,  0.596271
3, 1, 4, 0, 800,  0.335462
3, 1, 4, 1, 800,  0.342134
3, 1, 4, 2, 800,  0.342398
3, 1, 4, 3, 800,  0.334917
3, 1, 4, 4, 800,  0.341904
3, 1, 4, 5, 800,  0.339729
3, 1, 8, 0, 800,  0.170174
3, 1, 8, 1, 800,  0.170352
3, 1, 8, 2, 800,  0.175833
3, 1, 8, 3, 800,  0.170944
3, 1, 8, 4, 800,  0.170852
3, 1, 8, 5, 800,  0.171721
3, 1, 12, 0, 800,  0.124831
3, 1, 12, 1, 800,  0.124386
3, 1, 12, 2, 800,  0.124221
3, 1, 12, 3, 800,  0.126798
3, 1, 12, 4, 800,  0.127767
3, 1, 12, 5, 800,  0.124108
3, 1, 19, 0, 800,  0.089046
3, 1, 19, 1, 800,  0.090388
3, 1, 19, 2, 800,  0.089117
3, 1, 19, 3, 800,  0.090674
3, 1, 19, 4, 800,  0.087795
3, 1, 19, 5, 800,  0.090726
