img, version, proc, rep, iter, time
3, 0, 4, 4, 800,  0.195938
3, 0, 4, 5, 800,  0.199385
3, 0, 8, 0, 800,  0.104574
3, 0, 8, 1, 800,  0.097355
3, 0, 8, 2, 800,  0.093843
3, 0, 8, 3, 800,  0.100021
3, 0, 8, 4, 800,  0.103728
3, 0, 8, 5, 800,  0.100819
3, 0, 12, 0, 800,  0.072471
3, 0, 12, 1, 800,  0.077258
3, 0, 12, 2, 800,  0.076173
3, 0, 12, 3, 800,  0.078085
3, 0, 12, 4, 800,  0.078156
3, 0, 12, 5, 800,  0.078845
3, 0, 19, 0, 800,  0.053323
3, 0, 19, 1, 800,  0.052009
3, 0, 19, 2, 800,  0.048843
3, 0, 19, 3, 800,  0.050070
3, 0, 19, 4, 800,  0.052054
3, 0, 19, 5, 800,  0.054046
3, 1, 2, 0, 800,  0.595517
3, 1, 2, 1, 800,  0.595677
3, 1, 2, 2, 800,  0.595692
3, 1, 2, 3, 800,  0.595302
3, 1, 2, 4, 800,  0.595410
3, 1, 2, 5, 800,  0.595087
3, 1, 4, 0, 800,  0.339639
3, 1, 4, 1, 800,  0.337615
3, 1, 4, 2, 800,  0.337839
3, 1, 4, 3, 800,  0.335240
3, 1, 4, 4, 800,  0.334840
3, 1, 4, 5, 800,  0.340659
3, 1, 8, 0, 800,  0.172233
3, 1, 8, 1, 800,  0.169325
3, 1, 8, 2, 800,  0.170092
3, 1, 8, 3, 800,  0.172224
3, 1, 8, 4, 800,  0.171005
3, 1, 8, 5, 800,  0.171473
3, 1, 12, 0, 800,  0.119520
3, 1, 12, 1, 800,  0.125314
3, 1, 12, 2, 800,  0.124016
3, 1, 12, 3, 800,  0.123589
3, 1, 12, 4, 800,  0.122889
3, 1, 12, 5, 800,  0.121863
3, 1, 19, 0, 800,  0.092609
3, 1, 19, 1, 800,  0.088839
3, 1, 19, 2, 800,  0.089236
3, 1, 19, 3, 800,  0.094749
3, 1, 19, 4, 800,  0.088153
3, 1, 19, 5, 800,  0.091899
