img, proc, rep, iter, time
0, 6, 0, 20000,  0.484911
0, 6, 1, 20000,  0.478102
0, 6, 2, 20000,  0.480117
0, 6, 3, 20000,  0.489968
0, 6, 4, 20000,  0.482767
0, 6, 5, 20000,  0.485487
0, 12, 0, 20000,  0.374436
0, 12, 1, 20000,  0.377013
0, 12, 2, 20000,  0.362807
0, 12, 3, 20000,  0.360716
0, 12, 4, 20000,  0.374506
0, 12, 5, 20000,  0.370999
0, 18, 0, 20000,  0.339249
0, 18, 1, 20000,  0.337791
0, 18, 2, 20000,  0.337139
0, 18, 3, 20000,  0.340125
0, 18, 4, 20000,  0.338300
0, 18, 5, 20000,  0.337339
0, 24, 0, 20000,  0.327880
0, 24, 1, 20000,  0.326555
0, 24, 2, 20000,  0.328767
0, 24, 3, 20000,  0.332102
0, 24, 4, 20000,  0.325551
0, 24, 5, 20000,  0.323638
0, 30, 0, 20000,  0.321501
0, 30, 1, 20000,  0.320626
0, 30, 2, 20000,  0.325420
0, 30, 3, 20000,  0.326226
0, 30, 4, 20000,  0.323754
0, 30, 5, 20000,  0.327882
0, 36, 0, 20000,  0.323410
0, 36, 1, 20000,  0.321470
0, 36, 2, 20000,  0.322066
0, 36, 3, 20000,  0.319728
0, 36, 4, 20000,  0.321447
0, 36, 5, 20000,  0.324138
1, 6, 0, 20000,  0.663096
1, 6, 1, 20000,  0.661983
1, 6, 2, 20000,  0.663881
1, 6, 3, 20000,  0.666163
1, 6, 4, 20000,  0.660392
1, 6, 5, 20000,  0.665189
1, 12, 0, 20000,  0.449171
1, 12, 1, 20000,  0.448765
1, 12, 2, 20000,  0.445338
1, 12, 3, 20000,  0.454978
1, 12, 4, 20000,  0.453471
1, 12, 5, 20000,  0.454391
1, 18, 0, 20000,  0.381296
1, 18, 1, 20000,  0.381723
1, 18, 2, 20000,  0.381465
1, 18, 3, 20000,  0.383656
1, 18, 4, 20000,  0.381537
1, 18, 5, 20000,  0.386746
1, 24, 0, 20000,  0.368450
1, 24, 1, 20000,  0.365674
1, 24, 2, 20000,  0.361329
1, 24, 3, 20000,  0.362235
1, 24, 4, 20000,  0.363470
1, 24, 5, 20000,  0.365639
1, 30, 0, 20000,  0.358206
1, 30, 1, 20000,  0.358164
1, 30, 2, 20000,  0.352450
1, 30, 3, 20000,  0.356063
1, 30, 4, 20000,  0.363029
1, 30, 5, 20000,  0.356184
1, 36, 0, 20000,  0.352880
1, 36, 1, 20000,  0.357194
1, 36, 2, 20000,  0.352235
1, 36, 3, 20000,  0.351830
1, 36, 4, 20000,  0.352112
1, 36, 5, 20000,  0.352195
2, 6, 0, 20000,  1.417282
2, 6, 1, 20000,  1.418117
2, 6, 2, 20000,  1.427362
2, 6, 3, 20000,  1.426642
2, 6, 4, 20000,  1.421956
2, 6, 5, 20000,  1.429779
2, 12, 0, 20000,  0.932632
2, 12, 1, 20000,  0.933649
2, 12, 2, 20000,  0.935726
2, 12, 3, 20000,  0.940342
2, 12, 4, 20000,  0.928896
2, 12, 5, 20000,  0.944717
2, 18, 0, 20000,  0.709839
2, 18, 1, 20000,  0.707827
2, 18, 2, 20000,  0.703306
2, 18, 3, 20000,  0.699003
2, 18, 4, 20000,  0.704639
2, 18, 5, 20000,  0.699912
2, 24, 0, 20000,  0.617694
2, 24, 1, 20000,  0.621800
2, 24, 2, 20000,  0.620627
2, 24, 3, 20000,  0.619837
2, 24, 4, 20000,  0.623277
2, 24, 5, 20000,  0.617256
2, 30, 0, 20000,  0.560649
2, 30, 1, 20000,  0.553210
2, 30, 2, 20000,  0.554244
2, 30, 3, 20000,  0.552121
2, 30, 4, 20000,  0.556361
2, 30, 5, 20000,  0.560716
2, 36, 0, 20000,  0.519091
2, 36, 1, 20000,  0.517958
2, 36, 2, 20000,  0.518466
2, 36, 3, 20000,  0.519058
2, 36, 4, 20000,  0.522047
2, 36, 5, 20000,  0.514980
3, 6, 0, 20000,  3.413911
3, 6, 1, 20000,  3.416551
3, 6, 2, 20000,  3.410686
3, 6, 3, 20000,  3.415998
3, 6, 4, 20000,  3.412170
3, 6, 5, 20000,  3.413305
3, 12, 0, 20000,  1.813341
3, 12, 1, 20000,  1.804502
3, 12, 2, 20000,  1.805621
3, 12, 3, 20000,  1.811332
3, 12, 4, 20000,  1.807342
3, 12, 5, 20000,  1.803830
3, 18, 0, 20000,  1.305462
3, 18, 1, 20000,  1.306719
3, 18, 2, 20000,  1.314011
3, 18, 3, 20000,  1.318251
3, 18, 4, 20000,  1.311132
3, 18, 5, 20000,  1.312403
3, 24, 0, 20000,  1.102169
3, 24, 1, 20000,  1.099365
3, 24, 2, 20000,  1.097790
3, 24, 3, 20000,  1.097221
3, 24, 4, 20000,  1.099898
3, 24, 5, 20000,  1.097680
3, 30, 0, 20000,  0.992073
3, 30, 1, 20000,  0.992630
3, 30, 2, 20000,  0.998353
3, 30, 3, 20000,  0.990637
3, 30, 4, 20000,  0.989094
3, 30, 5, 20000,  0.988219
3, 36, 0, 20000,  0.978460
3, 36, 1, 20000,  0.977188
3, 36, 2, 20000,  0.976941
3, 36, 3, 20000,  0.978809
3, 36, 4, 20000,  0.979426
3, 36, 5, 20000,  0.979187
