img, version, proc, rep, iter, time
2, 0, 12, 1, 800,  0.033245
2, 0, 12, 2, 800,  0.033333
2, 0, 12, 3, 800,  0.033359
2, 0, 12, 4, 800,  0.033223
2, 0, 12, 5, 800,  0.032760
2, 0, 19, 0, 800,  0.027523
2, 0, 19, 1, 800,  0.027480
2, 0, 19, 2, 800,  0.027198
2, 0, 19, 3, 800,  0.027801
2, 0, 19, 4, 800,  0.027035
2, 0, 19, 5, 800,  0.027378
2, 1, 2, 0, 800,  0.218575
2, 1, 2, 1, 800,  0.218693
2, 1, 2, 2, 800,  0.218914
2, 1, 2, 3, 800,  0.218610
2, 1, 2, 4, 800,  0.218556
2, 1, 2, 5, 800,  0.218794
2, 1, 4, 0, 800,  0.115846
2, 1, 4, 1, 800,  0.115998
2, 1, 4, 2, 800,  0.115816
2, 1, 4, 3, 800,  0.116007
2, 1, 4, 4, 800,  0.115780
2, 1, 4, 5, 800,  0.116108
2, 1, 8, 0, 800,  0.063085
2, 1, 8, 1, 800,  0.063217
2, 1, 8, 2, 800,  0.063208
2, 1, 8, 3, 800,  0.063138
2, 1, 8, 4, 800,  0.063041
2, 1, 8, 5, 800,  0.063116
2, 1, 12, 0, 800,  0.049424
2, 1, 12, 1, 800,  0.049137
2, 1, 12, 2, 800,  0.049141
2, 1, 12, 3, 800,  0.049443
2, 1, 12, 4, 800,  0.049537
2, 1, 12, 5, 800,  0.049166
2, 1, 19, 0, 800,  0.044919
2, 1, 19, 1, 800,  0.044930
2, 1, 19, 2, 800,  0.045054
2, 1, 19, 3, 800,  0.044946
2, 1, 19, 4, 800,  0.045135
2, 1, 19, 5, 800,  0.044855
3, 0, 2, 0, 800,  0.319205
3, 0, 2, 1, 800,  0.319418
3, 0, 2, 2, 800,  0.319365
3, 0, 2, 3, 800,  0.319304
3, 0, 2, 4, 800,  0.319330
3, 0, 2, 5, 800,  0.319386
3, 0, 4, 0, 800,  0.192267
3, 0, 4, 1, 800,  0.191849
3, 0, 4, 2, 800,  0.192357
3, 0, 4, 3, 800,  0.191492
3, 0, 4, 4, 800,  0.191981
3, 0, 4, 5, 800,  0.191803
3, 0, 8, 0, 800,  0.092235
3, 0, 8, 1, 800,  0.092240
3, 0, 8, 2, 800,  0.091946
3, 0, 8, 3, 800,  0.092342
3, 0, 8, 4, 800,  0.092152
3, 0, 8, 5, 800,  0.092089
3, 0, 12, 0, 800,  0.068646
3, 0, 12, 1, 800,  0.068560
3, 0, 12, 2, 800,  0.068469
3, 0, 12, 3, 800,  0.068656
3, 0, 12, 4, 800,  0.068961
3, 0, 12, 5, 800,  0.068584
3, 0, 19, 0, 800,  0.046012
3, 0, 19, 1, 800,  0.045872
3, 0, 19, 2, 800,  0.049413
3, 0, 19, 3, 800,  0.045938
3, 0, 19, 4, 800,  0.045825
3, 0, 19, 5, 800,  0.045951
3, 1, 2, 0, 800,  0.593138
3, 1, 2, 1, 800,  0.593036
3, 1, 2, 2, 800,  0.593124
3, 1, 2, 3, 800,  0.593071
3, 1, 2, 4, 800,  0.593077
3, 1, 2, 5, 800,  0.593078
3, 1, 4, 0, 800,  0.326194
3, 1, 4, 1, 800,  0.326611
3, 1, 4, 2, 800,  0.326686
3, 1, 4, 3, 800,  0.326143
3, 1, 4, 4, 800,  0.325974
3, 1, 4, 5, 800,  0.325927
3, 1, 8, 0, 800,  0.160169
3, 1, 8, 1, 800,  0.160194
3, 1, 8, 2, 800,  0.160264
3, 1, 8, 3, 800,  0.160329
3, 1, 8, 4, 800,  0.167901
3, 1, 8, 5, 800,  0.160121
3, 1, 12, 0, 800,  0.115143
3, 1, 12, 1, 800,  0.114957
3, 1, 12, 2, 800,  0.115166
3, 1, 12, 3, 800,  0.115156
3, 1, 12, 4, 800,  0.115234
3, 1, 12, 5, 800,  0.115105
3, 1, 19, 0, 800,  0.082370
3, 1, 19, 1, 800,  0.082474
3, 1, 19, 2, 800,  0.082338
3, 1, 19, 3, 800,  0.082355
3, 1, 19, 4, 800,  0.082361
3, 1, 19, 5, 800,  0.082525
