img, proc, rep, iter, time
1, 8, 2, 20000,  0.423297
1, 8, 3, 20000,  0.415826
1, 8, 4, 20000,  0.415977
1, 8, 5, 20000,  0.422818
1, 12, 0, 20000,  0.353936
1, 12, 1, 20000,  0.353797
1, 12, 2, 20000,  0.360729
1, 12, 3, 20000,  0.354094
1, 12, 4, 20000,  0.350236
1, 12, 5, 20000,  0.358523
1, 15, 0, 20000,  0.312017
1, 15, 1, 20000,  0.312742
1, 15, 2, 20000,  0.310659
1, 15, 3, 20000,  0.312071
1, 15, 4, 20000,  0.314359
1, 15, 5, 20000,  0.310859
1, 16, 0, 20000,  0.320275
1, 16, 1, 20000,  0.322361
1, 16, 2, 20000,  0.322936
1, 16, 3, 20000,  0.322058
1, 16, 4, 20000,  0.324544
1, 16, 5, 20000,  0.325894
1, 23, 0, 20000,  0.247874
1, 23, 1, 20000,  0.248987
1, 23, 2, 20000,  0.248875
1, 23, 3, 20000,  0.249846
1, 23, 4, 20000,  0.253258
1, 23, 5, 20000,  0.256106
1, 25, 0, 20000,  0.319657
1, 25, 1, 20000,  0.316317
1, 25, 2, 20000,  0.312940
1, 25, 3, 20000,  0.317971
1, 25, 4, 20000,  0.314246
1, 25, 5, 20000,  0.315529
1, 28, 0, 20000,  0.291699
1, 28, 1, 20000,  0.294474
1, 28, 2, 20000,  0.290688
1, 28, 3, 20000,  0.291492
1, 28, 4, 20000,  0.289587
1, 28, 5, 20000,  0.285699
1, 31, 0, 20000,  0.237834
1, 31, 1, 20000,  0.239446
1, 31, 2, 20000,  0.238893
1, 31, 3, 20000,  0.236234
1, 31, 4, 20000,  0.236719
1, 31, 5, 20000,  0.239117
1, 32, 0, 20000,  0.279292
1, 32, 1, 20000,  0.279351
1, 32, 2, 20000,  0.276475
1, 32, 3, 20000,  0.284683
1, 32, 4, 20000,  0.277500
1, 32, 5, 20000,  0.278242
1, 36, 0, 20000,  0.277126
1, 36, 1, 20000,  0.275060
1, 36, 2, 20000,  0.279152
1, 36, 3, 20000,  0.279114
1, 36, 4, 20000,  0.277291
1, 36, 5, 20000,  0.276593
2, 1, 0, 20000,  5.596181
2, 1, 1, 20000,  5.592584
2, 1, 2, 20000,  5.583980
2, 1, 3, 20000,  5.588311
2, 1, 4, 20000,  5.587244
2, 1, 5, 20000,  5.578743
2, 2, 0, 20000,  3.176326
2, 2, 1, 20000,  3.189739
2, 2, 2, 20000,  3.173649
2, 2, 3, 20000,  3.179270
2, 2, 4, 20000,  3.190462
2, 2, 5, 20000,  3.161840
2, 4, 0, 20000,  1.799896
2, 4, 1, 20000,  1.799743
2, 4, 2, 20000,  1.776098
2, 4, 3, 20000,  1.800462
2, 4, 4, 20000,  1.813664
2, 4, 5, 20000,  1.796329
2, 8, 0, 20000,  1.024045
2, 8, 1, 20000,  1.018509
2, 8, 2, 20000,  1.016024
2, 8, 3, 20000,  1.018723
2, 8, 4, 20000,  1.022325
2, 8, 5, 20000,  1.028192
2, 12, 0, 20000,  0.852819
2, 12, 1, 20000,  0.840061
2, 12, 2, 20000,  0.856506
2, 12, 3, 20000,  0.846549
2, 12, 4, 20000,  0.857712
2, 12, 5, 20000,  0.857264
2, 15, 0, 20000,  0.679413
2, 15, 1, 20000,  0.682051
2, 15, 2, 20000,  0.682726
2, 15, 3, 20000,  0.682825
2, 15, 4, 20000,  0.679695
2, 15, 5, 20000,  0.680933
2, 16, 0, 20000,  0.689727
2, 16, 1, 20000,  0.685491
2, 16, 2, 20000,  0.695070
2, 16, 3, 20000,  0.680592
2, 16, 4, 20000,  0.685928
2, 16, 5, 20000,  0.687743
2, 23, 0, 20000,  0.455354
2, 23, 1, 20000,  0.453574
2, 23, 2, 20000,  0.450236
2, 23, 3, 20000,  0.454621
2, 23, 4, 20000,  0.453583
2, 23, 5, 20000,  0.471832
2, 25, 0, 20000,  0.571752
2, 25, 1, 20000,  0.579447
2, 25, 2, 20000,  0.574950
2, 25, 3, 20000,  0.570537
2, 25, 4, 20000,  0.575313
2, 25, 5, 20000,  0.581598
2, 28, 0, 20000,  0.487453
2, 28, 1, 20000,  0.489750
2, 28, 2, 20000,  0.490963
2, 28, 3, 20000,  0.489046
2, 28, 4, 20000,  0.492738
2, 28, 5, 20000,  0.485054
2, 31, 0, 20000,  0.490750
2, 31, 1, 20000,  0.488580
2, 31, 2, 20000,  0.487976
2, 31, 3, 20000,  0.483576
2, 31, 4, 20000,  0.483240
2, 31, 5, 20000,  0.495149
2, 32, 0, 20000,  0.452246
2, 32, 1, 20000,  0.452920
2, 32, 2, 20000,  0.449947
2, 32, 3, 20000,  0.450913
2, 32, 4, 20000,  0.460088
2, 32, 5, 20000,  0.453900
2, 36, 0, 20000,  0.440753
2, 36, 1, 20000,  0.441803
2, 36, 2, 20000,  0.437460
2, 36, 3, 20000,  0.433166
2, 36, 4, 20000,  0.443392
2, 36, 5, 20000,  0.434706
3, 1, 0, 20000,  17.697607
3, 1, 1, 20000,  17.683806
3, 1, 2, 20000,  17.688744
3, 1, 3, 20000,  17.718760
3, 1, 4, 20000,  17.688464
3, 1, 5, 20000,  17.710921
3, 2, 0, 20000,  7.985379
3, 2, 1, 20000,  7.987481
3, 2, 2, 20000,  7.995256
3, 2, 3, 20000,  7.998427
3, 2, 4, 20000,  7.988017
3, 2, 5, 20000,  7.999935
3, 4, 0, 20000,  4.815025
3, 4, 1, 20000,  4.813559
3, 4, 2, 20000,  4.800529
3, 4, 3, 20000,  4.820078
3, 4, 4, 20000,  4.803231
3, 4, 5, 20000,  4.811877
3, 8, 0, 20000,  2.316342
3, 8, 1, 20000,  2.304309
3, 8, 2, 20000,  2.314704
3, 8, 3, 20000,  2.308217
3, 8, 4, 20000,  2.308426
3, 8, 5, 20000,  2.307906
3, 12, 0, 20000,  1.725986
3, 12, 1, 20000,  1.713041
3, 12, 2, 20000,  1.722057
3, 12, 3, 20000,  1.721540
3, 12, 4, 20000,  1.735143
3, 12, 5, 20000,  1.727650
3, 15, 0, 20000,  1.464028
3, 15, 1, 20000,  1.480248
3, 15, 2, 20000,  1.468049
3, 15, 3, 20000,  1.473990
3, 15, 4, 20000,  1.477783
3, 15, 5, 20000,  1.468935
3, 16, 0, 20000,  1.466442
3, 16, 1, 20000,  1.470686
3, 16, 2, 20000,  1.469839
3, 16, 3, 20000,  1.470618
3, 16, 4, 20000,  1.468820
3, 16, 5, 20000,  1.475849
3, 23, 0, 20000,  0.997034
3, 23, 1, 20000,  1.003921
3, 23, 2, 20000,  0.994894
3, 23, 3, 20000,  1.000061
3, 23, 4, 20000,  0.999706
3, 23, 5, 20000,  0.997247
3, 25, 0, 20000,  1.139982
3, 25, 1, 20000,  1.145103
3, 25, 2, 20000,  1.146183
3, 25, 3, 20000,  1.147081
3, 25, 4, 20000,  1.156182
3, 25, 5, 20000,  1.144061
3, 28, 0, 20000,  0.980079
3, 28, 1, 20000,  0.981175
3, 28, 2, 20000,  0.978799
3, 28, 3, 20000,  1.005864
3, 28, 4, 20000,  0.976980
3, 28, 5, 20000,  0.973978
3, 31, 0, 20000,  1.128239
3, 31, 1, 20000,  1.127744
3, 31, 2, 20000,  1.125614
3, 31, 3, 20000,  1.128682
3, 31, 4, 20000,  1.161219
3, 31, 5, 20000,  1.129281
3, 32, 0, 20000,  0.884523
3, 32, 1, 20000,  0.882321
3, 32, 2, 20000,  0.887119
3, 32, 3, 20000,  0.887595
3, 32, 4, 20000,  0.882913
3, 32, 5, 20000,  0.884479
3, 36, 0, 20000,  0.879715
3, 36, 1, 20000,  0.874670
3, 36, 2, 20000,  0.870672
3, 36, 3, 20000,  0.879270
3, 36, 4, 20000,  0.877862
3, 36, 5, 20000,  0.878730
