img, proc, rep, iter, time
0, 6, 0, 20000,  0.504454
0, 6, 1, 20000,  0.506860
0, 6, 2, 20000,  0.506643
0, 6, 3, 20000,  0.503219
0, 6, 4, 20000,  0.499671
0, 6, 5, 20000,  0.506104
0, 12, 0, 20000,  0.393854
0, 12, 1, 20000,  0.394420
0, 12, 2, 20000,  0.402906
0, 12, 3, 20000,  0.393879
0, 12, 4, 20000,  0.385961
0, 12, 5, 20000,  0.394541
0, 18, 0, 20000,  0.357844
0, 18, 1, 20000,  0.351595
0, 18, 2, 20000,  0.353547
0, 18, 3, 20000,  0.355696
0, 18, 4, 20000,  0.357897
0, 18, 5, 20000,  0.355811
0, 24, 0, 20000,  0.339086
0, 24, 1, 20000,  0.346257
0, 24, 2, 20000,  0.340388
0, 24, 3, 20000,  0.342061
0, 24, 4, 20000,  0.345867
0, 24, 5, 20000,  0.342692
0, 30, 0, 20000,  0.341421
0, 30, 1, 20000,  0.340068
0, 30, 2, 20000,  0.336279
0, 30, 3, 20000,  0.337412
0, 30, 4, 20000,  0.334627
0, 30, 5, 20000,  0.338888
0, 36, 0, 20000,  0.332089
0, 36, 1, 20000,  0.334639
0, 36, 2, 20000,  0.331596
0, 36, 3, 20000,  0.334945
0, 36, 4, 20000,  0.331965
0, 36, 5, 20000,  0.329504
1, 6, 0, 20000,  0.683049
1, 6, 1, 20000,  0.688159
1, 6, 2, 20000,  0.685075
1, 6, 3, 20000,  0.693524
1, 6, 4, 20000,  0.680788
1, 6, 5, 20000,  0.691071
1, 12, 0, 20000,  0.461601
1, 12, 1, 20000,  0.464423
1, 12, 2, 20000,  0.466438
1, 12, 3, 20000,  0.468206
1, 12, 4, 20000,  0.477889
1, 12, 5, 20000,  0.462209
1, 18, 0, 20000,  0.401812
1, 18, 1, 20000,  0.403647
1, 18, 2, 20000,  0.401798
1, 18, 3, 20000,  0.398869
1, 18, 4, 20000,  0.403083
1, 18, 5, 20000,  0.404235
1, 24, 0, 20000,  0.382275
1, 24, 1, 20000,  0.385011
1, 24, 2, 20000,  0.386981
1, 24, 3, 20000,  0.388133
1, 24, 4, 20000,  0.382453
1, 24, 5, 20000,  0.388028
1, 30, 0, 20000,  0.376971
1, 30, 1, 20000,  0.376614
1, 30, 2, 20000,  0.377836
1, 30, 3, 20000,  0.375861
1, 30, 4, 20000,  0.381328
1, 30, 5, 20000,  0.379751
1, 36, 0, 20000,  0.371506
1, 36, 1, 20000,  0.378112
1, 36, 2, 20000,  0.373347
1, 36, 3, 20000,  0.370881
1, 36, 4, 20000,  0.372124
1, 36, 5, 20000,  0.371321
2, 6, 0, 20000,  1.438889
2, 6, 1, 20000,  1.442149
2, 6, 2, 20000,  1.450427
2, 6, 3, 20000,  1.441598
2, 6, 4, 20000,  1.442127
2, 6, 5, 20000,  1.443996
2, 12, 0, 20000,  0.959547
2, 12, 1, 20000,  0.943540
2, 12, 2, 20000,  0.950187
2, 12, 3, 20000,  0.956935
2, 12, 4, 20000,  0.945167
2, 12, 5, 20000,  0.944132
2, 18, 0, 20000,  0.742450
2, 18, 1, 20000,  0.734152
2, 18, 2, 20000,  0.736202
2, 18, 3, 20000,  0.739364
2, 18, 4, 20000,  0.745495
2, 18, 5, 20000,  0.741824
2, 24, 0, 20000,  0.651527
2, 24, 1, 20000,  0.652931
2, 24, 2, 20000,  0.649383
2, 24, 3, 20000,  0.652196
2, 24, 4, 20000,  0.653186
2, 24, 5, 20000,  0.649931
2, 30, 0, 20000,  0.588058
2, 30, 1, 20000,  0.585252
2, 30, 2, 20000,  0.591100
2, 30, 3, 20000,  0.593453
2, 30, 4, 20000,  0.590445
2, 30, 5, 20000,  0.585329
2, 36, 0, 20000,  0.545861
2, 36, 1, 20000,  0.557029
2, 36, 2, 20000,  0.545483
2, 36, 3, 20000,  0.556891
2, 36, 4, 20000,  0.547992
2, 36, 5, 20000,  0.540023
3, 6, 0, 20000,  3.444892
3, 6, 1, 20000,  3.447287
3, 6, 2, 20000,  3.445850
3, 6, 3, 20000,  3.445525
3, 6, 4, 20000,  3.446860
3, 6, 5, 20000,  3.441234
3, 12, 0, 20000,  1.815007
3, 12, 1, 20000,  1.812994
3, 12, 2, 20000,  1.812502
3, 12, 3, 20000,  1.812632
3, 12, 4, 20000,  1.813853
3, 12, 5, 20000,  1.822380
3, 18, 0, 20000,  1.342625
3, 18, 1, 20000,  1.350930
3, 18, 2, 20000,  1.341970
3, 18, 3, 20000,  1.343730
3, 18, 4, 20000,  1.344781
3, 18, 5, 20000,  1.342803
3, 24, 0, 20000,  1.135022
3, 24, 1, 20000,  1.132125
3, 24, 2, 20000,  1.136877
3, 24, 3, 20000,  1.133040
3, 24, 4, 20000,  1.135482
3, 24, 5, 20000,  1.136101
3, 30, 0, 20000,  1.022898
3, 30, 1, 20000,  1.013435
3, 30, 2, 20000,  1.016660
3, 30, 3, 20000,  1.017251
3, 30, 4, 20000,  1.016493
3, 30, 5, 20000,  1.017898
3, 36, 0, 20000,  0.987540
3, 36, 1, 20000,  0.976358
3, 36, 2, 20000,  0.976230
3, 36, 3, 20000,  0.973934
3, 36, 4, 20000,  0.972907
3, 36, 5, 20000,  0.976736
